curso,codigo,D_DENOMINA,D_ESPECIFICA,D_TIPO,D_DOMICILIO,D_LOCALIDAD,cod_municipio,D_MUNICIPIO,D_PROVINCIA,C_POSTAL,N_TELEFONO,Correo_e,N_LATITUD,N_LONGITUD,N_COUTMX,N_COUTMY,Regimen_general,Regimen_adultos,Regimen_especial,pub_adh_inf1,pub_noadh_inf1,priv_adh_inf1,priv_noadh_inf1,pub_inf2,priv_c_inf2,priv_noc_inf2,pub_pri,priv_c_pri,priv_noc_pri,pub_eso,priv_c_eso,priv_noc_eso,pub_bach_ord,priv_c_bach_ord,priv_noc_bach_ord,pub_bach_adul,pub_bach_semi_dist,pub_fpbasica,priv_c_fpbas,priv_noc_fpbas,pub_fpgm_ord,priv_c_fpgm_ord,priv_noc_fpgm_ord,pub_fpgm_adul,pub_fpgm_semi_dist,priv_noc_fpgm_semi_dist,pub_fpgs_ord,priv_c_fpgs_ord,priv_noc_fpgs_ord,pub_fpgs_adul,priv_noc_fpgs_adul,pub_fpgs_semi_dist,priv_noc_fpgs_semi_dist,pub_ce_gm,pri_noc_ce_gm,pub_ce_gs,pri_noc_ce_gs,pub_ee,priv_c_ee,priv_noc_ee,pub_ccff_gm_apd,priv_ccff_gm_apd,pub_ccff_gs_apd,priv_ccff_gs_apd,pub_ESD,priv_ESD,priv_Master_EA,pub_Dra,priv_Dra,pub_Ens_Mus,priv_Ens_Mus,pub_Ens_Dan,priv_Ens_Dan,pub_Ens_no_reg_mus,priv_Ens_no_reg_mus,pub_Ens_no_reg_dan,priv_Ens_no_reg_dan,pub_idi,pub_idi_libre,pub_Ens_no_reg_idi,pub_Dep_gm,priv_Dep_gm,pub_Dep_gs,priv_Dep_gs,pub_Adul_formal,pub_planes
22,04000134,Instituto de Educación Secundaria,Gaviota,Público,"C/ Estero, 4",Adra,04003,Adra,Almería,04770,950579614,04000134.edu@juntadeandalucia.es,"36,746195563608","-3,025990604138542","497679,7947","4066717,937",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04000250,Instituto de Educación Secundaria,Cardenal Cisneros,Público,"Avda. de América, s/n",Albox,04006,Albox,Almería,04800,950639900,04000250.edu@juntadeandalucia.es,"37,384135295","-2,141230226","576024,6108","4137833,069",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04000331,Instituto de Educación Secundaria,El Parador,Público,"C/ Eduardo Fajardo, 50",El Parador de las Hortichuelas,04079,Roquetas de Mar,Almería,04721,950156850,04000331.edu@juntadeandalucia.es,"36,800854333377416","-2,598440029375979","535822,274","4072856,064",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04000341,Instituto de Educación Secundaria,Las Marinas,Público,"C/ Coimbra, 1",Las Marinas,04079,Roquetas de Mar,Almería,04740,671530647,04000341.edu@juntadeandalucia.es,"36,72806570062084","-2,6394030853681442","532198,4519","4064767,1",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04000699,Instituto de Educación Secundaria,Alhamilla,Público,"Avda. Federico García Lorca, 130",Almería,04013,Almería,Almería,04005,950156100,04000699.edu@juntadeandalucia.es,"36,84268278596958","-2,457191480763171","548396,4903","4077558,357",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04000766,Instituto de Educación Secundaria,Azahar,Público,"C/ Juan Carlos I, s/n",Antas,04016,Antas,Almería,04628,950451949,iesazahar@iesazaharantas.com,"37,245938284832505","-1,9205643335628792","595735,2509","4122701,519",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04001141,Instituto de Educación Secundaria,Nicolás Salmerón Alonso,Público,"C/ Celia Viñas, s/n",Almería,04013,Almería,Almería,04007,950156149,04001141.edu@juntadeandalucia.es,"36,83295797211826","-2,450360315339026","549011,7632","4076483,049",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04001151,Instituto de Educación Secundaria,Celia Viñas,Público,"C/ Javier Sanz, 15",Almería,04013,Almería,Almería,04004,950156151,04001151.edu@juntadeandalucia.es,"36,838004323633164","-2,4611418366167754","548047,2026","4077037,374",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,S,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04001163,Instituto de Educación Secundaria,Alhadra,Público,"C/ de los Colegios, 7",Almería,04013,Almería,Almería,04009,950156930,04001163.edu@juntadeandalucia.es,"36,84869354693832","-2,44251631258485","549701,0407","4078232,675",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,S,N,S,N,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04001187,Instituto de Educación Secundaria,Los Ángeles,Público,"C/ Maestría, 2",Almería,04013,Almería,Almería,04008,671530970,04001187.edu@ieslosangeles.es ieslosangeles@gmail.com,"36,84960568378309","-2,456114888191223","548488,1078","4078326,872",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,S,N,S,N,N,S,N,N,N,S,N,S,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04001205,Centro público integrado de formación profesional,Almeraya,Público,"Paseo de la Caridad, 125",Almería,04013,Almería,Almería,04008,950156552,04001205.edu@juntadeandalucia.es,"36,85053410734173","-2,4679371826831584","547433,5516","4078423,929",S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04001242,Escuela de Arte,Carlos Pérez Siquier,Público,"Plaza Pablo Cazard, 1",Almería,04013,Almería,Almería,04001,950156158,04001242.edu@juntadeandalucia.es,"36,837055021132144","-2,4642714858055115","547768,736","4076930,497",S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04001497,Instituto de Educación Secundaria,Mediterráneo,Público,"Ctra. AL-153, Km 1¿5",Garrucha,04049,Garrucha,Almería,04630,950451681,04001497.edu@juntadeandalucia.es,"37,18553581035483","-1,8246960639953613","604321,2772","4116101,522",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04001825,Instituto de Educación Secundaria,Sierra de Gádor,Público,"C/ Ramón y Cajal, 1",Berja,04029,Berja,Almería,04760,950579548,04001825.edu@juntadeandalucia.es,"36,84128388222547","-2,9466640949249268","504755,4648","4077267,039",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04001931,Instituto de Educación Secundaria,Valle del Almanzora,Público,"Avda. España, 33",Cantoria,04031,Cantoria,Almería,04850,950639924,04001931.edu@juntadeandalucia.es,"37,353562517462336","-2,1870554462543623","571996,9626","4134405,293",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04002052,Instituto de Educación Secundaria,Jaroso,Público,"Avda. Carlos Herrera, 25",Cuevas del Almanzora,04035,Cuevas del Almanzora,Almería,04610,950451705,04002052.edu@juntadeandalucia.es,"37,29222345474887","-1,877313077209692","599510,4","4127881,205",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04010954,Sección de Educación Secundaria Obligatoria,del I.E.S. Carmen de Burgos,Público,"C/ Río Duero, Nº1",Huércal de Almería,04052,Huércal de Almería,Almería,04230,696883770,,"36,8833719623499","-2,44061144123653","549848,3324","4082080,622",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04010981,Sección de Educación Secundaria Obligatoria,del I.E.S. Turaniana,Público,C/ Dinamarca S/N,Roquetas de Mar,04079,Roquetas de Mar,Almería,04740,636086136,,"36,7721706295806","-2,60619521900917","535143,5441","4069671,304",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04011594,Sección de Educación Secundaria Obligatoria,del I.E.S. Las Marinas,Público,"C/ Cerro Muriano, Nº1",Las Marinas,04079,Roquetas de Mar,Almería,04740,648950801,,"36,7342535021844","-2,62423178664229","533550,442","4065458,712",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700016,Instituto de Educación Secundaria,Turaniana,Público,"Avda. de los Estudiantes, 86",Roquetas de Mar,04079,Roquetas de Mar,Almería,04740,950156721,04700016.edu@juntadeandalucia.es,"36,756723525058106","-2,63008417030969","533018,2824","4067949,258",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700053,Instituto de Educación Secundaria,Juan Goytisolo,Público,"C/ Joan Manuel Serrat, s/n",Carboneras,04032,Carboneras,Almería,04140,950451773,04700053.edu@juntadeandalucia.es,"37,00685375766381","-1,8963217735290527","598193,822","4096201,975",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700090,Instituto de Educación Secundaria,Rey Alabez,Público,"C/ Albardinar, s/n",Mojácar,04064,Mojácar,Almería,04638,950451578,04700090.edu@juntadeandalucia.es,"37,13821926662512","-1,8314766883850097","603784,0792","4110844,661",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700107,Instituto de Educación Secundaria,Sol de Portocarrero,Público,"Ctra. de Níjar, Km 7",La Cañada de San Urbano,04013,Almería,Almería,04120,950156950,04700107.edu@juntadeandalucia.es,"36,84496301581064","-2,3856478929519653","554773,7136","4077849,933",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700132,Instituto de Educación Secundaria,Campos de Níjar,Público,"C/ Camino del Calvo, 43",Campohermoso,04066,Níjar,Almería,04110,950368915,04700132.edu@juntadeandalucia.es,"36,93990233688559","-2,132474184036255","577250,5696","4088557,061",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04700144,Instituto de Educación Secundaria,La Puebla,Público,"Plaza Platón, 5",Puebla de Vícar,04102,Vícar,Almería,04738,950156726,04700144.edu@juntadeandalucia.es,"36,80030920410945","-2,641610726701174","531971,3233","4072780,293",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,S,N,N,N,S,N,S,N,N,N,N,S,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04700156,Instituto de Educación Secundaria,Bahía de Almería,Público,"C/ Luis Vives, s/n",Almería,04013,Almería,Almería,04006,950156275,04700156.edu@juntadeandalucia.es,"36,842331401527474","-2,44470477104187","549510,0343","4077525,775",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700259,Instituto de Educación Secundaria,Cerro Milano,Público,"Ctra. Gador-Laujar, s/n",Alhama de Almería,04011,Alhama de Almería,Almería,04400,950156736,04700259.edu@juntadeandalucia.es,"36,959830242289776","-2,575390517385017","537800,0435","4090500,439",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700260,Instituto de Educación Secundaria,Aguadulce,Público,"C/ Alhambra, 11",Aguadulce,04079,Roquetas de Mar,Almería,04720,950156742,04700260.edu@juntadeandalucia.es,"36,809130084170626","-2,58303165435791","537192,8251","4073779,978",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,S,N,N,N,S,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700272,Instituto de Educación Secundaria,Fuente Nueva,Público,"Avda. Príncipes de España, 115",El Ejido,04902,El Ejido,Almería,04700,950579927,04700272.edu@juntadeandalucia.es,"36,78209190289889","-2,814286523476312","516571,0971","4070715,642",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,N,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04700341,Instituto de Educación Secundaria,Mar Serena,Público,"C/ Emilio Zurano, 22",Pulpí,04075,Pulpí,Almería,04640,950451926,04700341.edu@juntadeandalucia.es,"37,40185323102614","-1,7487039470627223","610749,0821","4140187,391",S,S,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,S,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N
22,04700351,Instituto de Educación Secundaria,Alto Almanzora,Público,"C/ Huertas de la Polaca, 14",Tíjola,04092,Tíjola,Almería,04880,600167942,04700351.edu@juntadeandalucia.es,"37,34744757957968","-2,439265251159668","549664,2532","4133564,425",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700363,Instituto de Educación Secundaria,La Mojonera,Público,"Cmo. Cuesta Blanca, s/n",La Mojonera,04903,La Mojonera,Almería,04745,950156969,04700363.edu@juntadeandalucia.es,"36,74704297070273","-2,6843440532684326","528178,6293","4066858,064",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700399,Instituto de Educación Secundaria,Sierra de los Filabres,Público,"C/ Las Eras, s/n",Serón,04083,Serón,Almería,04890,950429547,04700399.edu@juntadeandalucia.es,"37,34372452744729","-2,5021040439605713","544100,7617","4133120,193",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700417,Instituto de Educación Secundaria,Río Aguas,Público,"Brr. Campanario, s/n",Sorbas,04086,Sorbas,Almería,04270,950368560,04700417.edu@juntadeandalucia.es,"37,10241721361213","-2,1273672580718994","577539,9917","4106590,161",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700429,Instituto de Educación Secundaria,Manuel de Góngora,Público,"Avda. Acacias, 9",Tabernas,04088,Tabernas,Almería,04200,950368905,04700429.edu@juntadeandalucia.es,"37,048758877166534","-2,394924469846046","553803,1213","4100452,543",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
22,04700442,Instituto de Educación Secundaria,Azcona,Público,"C/ Policia José Rueda Alcaraz, 1",Almería,04013,Almería,Almería,04006,950156222,04700442.edu@juntadeandalucia.es,"36,840202002966066","-2,448105812072754","549208,1597","4077287,8",S,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,S,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
